Classification,Occurences
bound,233
burin,232
carbon,232
rubber,231
veneer,230
baked,229
reproduction,229
intaglio,227
china,226
open,225
mount,224
celadon,223
kyoto,223
copy,222
greenish,222
roiro,222
washes,221
work,219
rose,218
mottled,212
string,212
wrought,212
mortar,210
shells,210
niello,209
tinted,209
reddish,207
chased,206
chromolithograph,206
roulette,206
illustration,205
wooden,205
clear,204
media,203
imari,202
linoleum,202
top,198
sheets,197
papers,195
reproducing,194
cover,192
etched,192
part,192
famille,191
varnish,191
feather,190
published,190
resin,190
cherry,188
head,187
letters,187
monochrome,186
vesme,185
drawn,184
onyx,184
reed,183
basalt,182
reverse,182
wickert,182
petitjean,181
satsuma,181
collage,180
page,180
blend,179
eight,179
natural,179
tintype,179
washed,179
mold,178
books,177
slipped,177
pigments,176
hemp,175
japan,175
back,174
burnished,174
cutwork,174
roll,173
trial,173
bartsch,172
damask,172
horsehair,172
veneered,171
border,169
compass,169
partially,169
rubies,169
sard,169
outlines,168
photographic,168
bleach,167
gypsum,167
hiramaki,167
maki,167
masonite,167
reproductions,167
seeds,167
text,167
brownish,166
monotype,166
angleterre,165
dâ€™alenã,164
min,163
chicago,162
fine,162
fire,162
negatives,162
netsuke,161
stamped,161
jet,160
painting,160
quartzite,160
seto,160
made,159
symmetrically,159
beech,158
spruce,157
style,157
sequins,156
serpentine,156
biscuit,155
cedar,155
method,155
stainless,155
tissue,155
cabinet,154
carnelians,154
ojime,154
composition,153
openwork,153
upper,153
favrile,151
hind,151
manner,151
not,150
schist,150
prepared,149
screen,149
hirado,147
jasperware,147
lined,147
verre,147
diamond,146
fibers,145
twill,145
garnets,143
right,143
other,141
later,140
rattan,140
sheffield,140
sixth,140
asymmetrically,139
tulip,139
alum,138
fired,138
loop,137
scraps,137
woods,137
table,136
bichromate,135
remains,135
attached,134
watermark,134
chlorite,133
contã,132
sardonyx,132
coated,131
elastic,131
filigree,131
precious,131
wefts,131
faint,130
splashed,130
pierced,129
portfolio,129
sony,129
takamakie,129
movement,128
perforations,128
heightening,127
sepia,127
cowrie,126
illustrated,126
obsidian,126
pair,126
bottom,125
commerical,125
olive,125
translucent,125
upholstery,125
serpentinite,124
double,123
figure,123
fresco,123
powder,123
leaded,122
satinwood,122
volume,122
bead,121
lift,120
moldings,120
beryl,119
samã,119
material,118
core,117
diorite,117
japanese,117
mirror,117
mostly,116
nine,116
distemper,115
pencils,115
pontil,115
suede,115
backed,114
transparency,114
animal,113
iii,113
limbs,113
neutral,113
ruling,113
sgraffito,113
banded,112
bark,112
out,112
threads,112
background,111
polished,111
slate,111
lampas,110
lime,110
tow,110
ebonized,109
lower,109
counterproof,108
inks,108
nabeshima,108
papier,108
ribbon,108
electrum,107
foundation,107
photogravures,107
undescribed,107
ten,106
after,105
serigraph,105
opalescent,104
side,104
birch,103
grayish,103
jewels,103
scrolls,103
semi,103
tinned,103
grained,102
teak,102
walrus,102
decorative,101
outline,101
weight,101
worked,101
scrap,100
sketch,100
